Column 9,date,description,category,Account,credit,debit,balance,is_storno,validate balance,,,,,,,,,date - Year-Month,Account,SUM of credit,SUM of debit,Рассчитываемое поле 1,AVERAGE of balance
1,12/6/2024,main income,,ТБанк RUB,,0.00,"163,628.24",,,"163,628.24",,,,,,,,2024-Dec,ТБанк RUB,0,0.00,0.00,"163,628.24"
2,2/3/2025,main income,,ТБанк RUB,,0.00,"266,042.24",,,"102,414.00",,,,,,,,2025-Feb,ТБанк RUB,0,0.00,0.00,"352,826.03"
3,2/21/2025,main income,,ТБанк RUB,,0.00,"439,609.81",,,"173,567.57",,,,,,,,2025-Mar,ТБанк RUB,0,0.00,0.00,"695,828.64"
4,3/7/2025,main income,,ТБанк RUB,,0.00,"613,166.39",,,"173,556.58",,,,,,,,2025-Apr,ТБанк RUB,0,0.00,0.00,"1,047,075.89"
5,3/20/2025,main income,,ТБанк RUB,,0.00,"778,490.89",,,"165,324.50",,,,,,,,2025-May,ТБанк RUB,0,0.00,0.00,"1,374,934.23"
6,4/7/2025,main income,,ТБанк RUB,,0.00,"960,301.54",,,"181,810.65",,,,,,,,2025-Jun,ТБанк RUB,0,0.00,0.00,"1,727,665.67"
7,4/21/2025,main income,,ТБанк RUB,,0.00,"1,133,850.24",,,"173,548.70",,,,,,,,2025-Jul,ТБанк RUB,0,0.00,0.00,"2,078,835.91"
8,5/6/2025,main income,,ТБанк RUB,,0.00,"1,307,435.67",,,"173,585.43",,,,,,,,2025-Aug,ТБанк RUB,0,0.00,0.00,"2,461,968.32"
9,5/22/2025,main income,,ТБанк RUB,,0.00,"1,442,432.79",,,"134,997.12",,,,,,,,2025-Sep,ТБанк RUB,0,0.00,0.00,"2,838,394.58"
10,6/6/2025,main income,,ТБанк RUB,,0.00,"1,654,571.80",,,"212,139.01",,,,,,,,2025-Oct,Bybit USDT,"6,251.68",0.00,"6,251.68","3,313.24"
11,6/20/2025,main income,,ТБанк RUB,,0.00,"1,800,759.54",,,"146,187.74",,,,,,,,,IBT EUR,"1,009.90",0.00,"1,009.90","1,009.90"
12,7/7/2025,main income,,ТБанк RUB,,0.00,"1,997,771.93",,,"197,012.39",,,,,,,,,ТБанк RUB,"722,485.36","632,300.00","90,185.36","277,704.35"
13,7/23/2025,main income,,ТБанк RUB,,0.00,"2,159,899.88",,,"162,127.95",,,,,,,,2025-Nov,Bybit USDT,"4,728.42","3,254.54","1,473.88","7,193.03"
14,8/7/2025,main income,,ТБанк RUB,,0.00,"2,336,767.08",,,"176,867.20",,,,,,,,,IBT EUR,"3,000.54",0.00,"3,000.54","3,021.55"
15,8/22/2025,main income,,ТБанк RUB,,0.00,"2,587,169.56",,,"250,402.48",,,,,,,,,ТБанк RUB,"1,194,525.02","622,810.00","571,715.02","610,837.28"
16,9/5/2025,main income,,ТБанк RUB,,0.00,"2,751,907.08",,,"164,737.52",,,,,,,,2025-Dec,Bybit USDT,"2,424.63",73.00,"2,351.63","8,869.78"
17,9/19/2025,main income,,ТБанк RUB,,0.00,"2,924,882.08",,,"172,975.00",,,,,,,,,Cash ARS,"957,700.00","220,700.00","737,000.00","556,958.67"
18,10/6/2025,main income,,ТБанк RUB,"172,975.00",0.00,"172,975.00",,,,,,,,,,,,IBT ARS,"67,429.50","67,429.50",0.00,"(15,787.75)"
19,10/7/2025,usdt exchage,,ТБанк RUB,,"41,500.00","131,475.00",,,,,,,,,,,,IBT EUR,534.90,"4,023.46","(3,488.56)","2,889.77"
20,10/7/2025,usdt exchage,,Bybit USDT,500.00,0.00,500.00,,,,,,,,,,,,Prex ARS,"913,000.00","765,561.00","147,439.00","458,931.20"
21,10/17/2025,kc income,,ТБанк RUB,"185,000.00",0.00,"316,475.00",,,,,,,,,,,,ТБанк RUB,"383,611.42","999,202.01","(615,590.59)","488,678.83"
22,10/19/2025,euro exchange,,ТБанк RUB,,"100,800.00","215,675.00",,,,,,,,,,,,ТБанк Счет RUB,"492,256.83",0.00,"492,256.83","492,256.83"
23,10/19/2025,euro exchange,,IBT EUR,"1,009.90",0.00,"1,009.90",,,,,,,,,,,,,,,,
24,10/21/2025,main income,,ТБанк RUB,"165,455.18",0.00,"381,130.18",,,,,,,,,,,,,,,,
25,10/21/2025,usdt exchage,,ТБанк RUB,,"24,219.00","356,911.18",,,,,,,,,,,,,,,,
26,10/21/2025,usdt exchage,,Bybit USDT,470.87,0.00,970.87,,,,,,,,,,,,,,,,
27,10/21/2025,usdt exchage,,ТБанк RUB,,"15,781.00","341,130.18",,,,,,,,,,,,,,,,
28,10/21/2025,usdt exchage,,ТБанк RUB,,"50,000.00","291,130.18",,,,,,,,,,,,,,,,
29,10/21/2025,usdt exchage,,Bybit USDT,561.80,0.00,"1,532.67",,,,,,,,,,,,,,,,
30,10/21/2025,main income,,ТБанк RUB,"165,455.18",0.00,"456,585.36",,,,,,,,,,,,,,,,
31,10/22/2025,usdt exchange,,ТБанк RUB,,"50,000.00","406,585.36",,,,,,,,,,,,,,,,
32,10/22/2025,usdt exchange,,Bybit USDT,585.00,0.00,"2,117.67",,,,,,,,,,,,,,,,
33,10/23/2025,usdt exchange,,ТБанк RUB,,"29,890.00","376,695.36",,,,,,,,,,,,,,,,
34,10/23/2025,usdt exchange,,Bybit USDT,588.51,0.00,"2,706.18",,,,,,,,,,,,,,,,
35,10/23/2025,usdt exchange,,ТБанк RUB,,"20,110.00","356,585.36",,,,,,,,,,,,,,,,
36,10/24/2025,usdt exchange,,ТБанк RUB,,"36,349.00","320,236.36",,,,,,,,,,,,,,,,
37,10/24/2025,usdt exchange,,Bybit USDT,588.58,0.00,"3,294.76",,,,,,,,,,,,,,,,
38,10/24/2025,usdt exchange,,ТБанк RUB,,"13,651.00","306,585.36",,,,,,,,,,,,,,,,
39,10/25/2025,usdt exchange,,ТБанк RUB,,"50,000.00","256,585.36",,,,,,,,,,,,,,,,
40,10/25/2025,usdt exchange,,Bybit USDT,588.58,0.00,"3,883.34",,,,,,,,,,,,,,,,
41,10/26/2025,usdt exchange,,ТБанк RUB,,"50,000.00","206,585.36",,,,,,,,,,,,,,,,
42,10/26/2025,usdt exchange,,Bybit USDT,588.58,0.00,"4,471.92",,,,,,,,,,,,,,,,
43,10/26/2025,refund,,ТБанк RUB,"33,600.00",0.00,"240,185.36",,,,,,,,,,,,,,,,
44,10/27/2025,usdt exchange,,ТБанк RUB,,"50,000.00","190,185.36",,,,,,,,,,,,,,,,
45,10/27/2025,usdt exchange,,Bybit USDT,588.58,0.00,"5,060.50",,,,,,,,,,,,,,,,
46,10/28/2025,usdt exchange,,ТБанк RUB,,"50,000.00","140,185.36",,,,,,,,,,,,,,,,
47,10/28/2025,usdt exchange,,Bybit USDT,595.59,0.00,"5,656.09",,,,,,,,,,,,,,,,
48,10/29/2025,usdt exchange,,ТБанк RUB,,"50,000.00","90,185.36",,,,,,,,,,,,,,,,
49,10/29/2025,usdt exchange,,Bybit USDT,595.59,0.00,"6,251.68",,,,,,,,,,,,,,,,
50,11/5/2025,main income,,ТБанк RUB,"180,494.82",0.00,"270,680.18",,,,,,,,,,,,,,,,
51,11/6/2025,euro exchange,,ТБанк RUB,,"101,000.00","169,680.18",,,,,,,,,,,,,,,,
52,11/6/2025,euro exchange,,IBT EUR,"1,029.70",0.00,"2,039.60",,,,,,,,,,,,,,,,
53,11/16/2025,tina exchange,,ТБанк RUB,"15,000.00",0.00,"184,680.18",,,,,,,,,,,,,,,,
54,11/16/2025,tina exchange,,Bybit USDT,,180.72,"6,070.96",,,,,,,,,,,,,,,,
55,11/18/2025,usdt exchange,,ТБанк RUB,,"50,000.00","134,680.18",,,,,,,,,,,,,,,,
56,11/18/2025,usdt exchange,,Bybit USDT,585.14,0.00,"6,656.10",,,,,,,,,,,,,,,,
57,11/19/2025,kc income,,ТБанк RUB,"185,000.00",0.00,"319,680.18",,,,,,,,,,,,,,,,
58,11/19/2025,usdt storno,,Bybit USDT,,"1,305.24","5,350.86",,,,,,,,,,,,,,,,
59,11/19/2025,usdt exchange,,ТБанк RUB,,"50,000.00","269,680.18",,,,,,,,,,,,,,,,
60,11/19/2025,usdt exchange,,Bybit USDT,585.14,0.00,"5,936.00",,,,,,,,,,,,,,,,
61,11/20/2025,delivery from russia,,Bybit USDT,,40.00,"5,896.00",,,,,,,,,,,,,,,,
62,11/20/2025,tina exchange,,ТБанк RUB,"21,250.00",0.00,"290,930.18",,,,,,,,,,,,,,,,
63,11/20/2025,tina exchange,,Bybit USDT,,250.00,"5,646.00",,,,,,,,,,,,,,,,
64,11/20/2025,estrogel,,ТБанк RUB,,"8,920.00","282,010.18",,,,,,,,,,,,,,,,
65,11/20/2025,usdt exchange,,ТБанк RUB,,"50,000.00","232,010.18",,,,,,,,,,,,,,,,
66,11/20/2025,usdt exchange,,Bybit USDT,585.14,0.00,"6,231.14",,,,,,,,,,,,,,,,
67,11/20/2025,main income,,ТБанк RUB,"163,871.48",0.00,"395,881.66",,,,,,,,,,,,,,,,
68,11/20/2025,main storno,,ТБанк RUB,"624,908.72",0.00,"1,020,790.38",,,,,,,,,,,,,,,,
69,11/20/2025,cvs,,ТБанк RUB,,500.00,"1,020,290.38",,,,,,,,,,,,,,,,
70,11/21/2025,usdt exchange,,ТБанк RUB,,"50,000.00","970,290.38",,,,,,,,,,,,,,,,
71,11/21/2025,usdt exchange,,Bybit USDT,585.14,0.00,"6,816.28",,,,,,,,,,,,,,,,
72,11/22/2025,steam returnal buy,,ТБанк RUB,,"1,650.00","968,640.38",,,,,,,,,,,,,,,,
73,11/24/2025,physcology,,ТБанк RUB,,"5,800.00","962,840.38",,,,,,,,,,,,,,,,
74,11/24/2025,usdt exchange,,ТБанк RUB,,"50,000.00","912,840.38",,,,,,,,,,,,,,,,
75,11/24/2025,usdt exchange,,Bybit USDT,585.14,0.00,"7,401.42",,,,,,,,,,,,,,,,
76,11/24/2025,tema refund,,ТБанк RUB,"4,000.00",0.00,"916,840.38",,,,,,,,,,,,,,,,
77,11/25/2025,usdt exchange ,,ТБанк RUB,,"50,000.00","866,840.38",,,,,,,,,,,,,,,,
78,11/25/2025,usdt exchange ,,Bybit USDT,588.58,0.00,"7,990.00",,,,,,,,,,,,,,,,
79,11/25/2025,cilios ,,Bybit USDT,,40.00,"7,950.00",,,,,,,,,,,,,,,,
80,11/26/2025,usdt exchange ,,ТБанк RUB,,"50,000.00","816,840.38",,,,,,,,,,,,,,,,
81,11/26/2025,usdt exchange ,,Bybit USDT,588.58,0.00,"8,538.58",,,,,,,,,,,,,,,,
82,11/26/2025,wb birthday ,,ТБанк RUB,,"1,000.00","815,840.38",,,,,,,,,,,,,,,,
83,11/26/2025,usd exchange ,,Bybit USDT,,972.58,"7,566.00",,,,,,,,,,,,,,,,
84,11/26/2025,usd exchange ,,IBT EUR,975.00,0.00,"3,014.60",,,,,,,,,,,,,,,,
85,11/26/2025,euro exchange ,,ТБанк RUB,,"94,740.00","721,100.38",,,,,,,,,,,,,,,,
86,11/26/2025,euro exchange ,,IBT EUR,995.84,0.00,"4,010.44",,,,,,,,,,,,,,,,
87,11/28/2025,nails,,Bybit USDT,,48.00,"7,518.00",,,,,,,,,,,,,,,,
88,11/28/2025,usdt exchange ,,ТБанк RUB,,"50,000.00","671,100.38",,,,,,,,,,,,,,,,
89,11/28/2025,usdt exchange ,,Bybit USDT,599.16,0.00,"8,117.16",,,,,,,,,,,,,,,,
90,11/28/2025,rita,,Bybit USDT,8.60,0.00,"8,125.76",,,,,,,,,,,,,,,,
91,11/28/2025,julia exchange ,,ТБанк RUB,,"1,500.00","669,600.38",,,,,,,,,,,,,,,,
92,11/28/2025,julia exchange ,,Bybit USDT,17.80,0.00,"8,143.56",,,,,,,,,,,,,,,,
93,11/28/2025,electro ,,Bybit USDT,,38.00,"8,105.56",,,,,,,,,,,,,,,,
94,11/28/2025,cvs,,ТБанк RUB,,"1,200.00","668,400.38",,,,,,,,,,,,,,,,
95,11/29/2025,бровки,,Bybit USDT,,30.00,"8,075.56",,,,,,,,,,,,,,,,
96,11/30/2025,cvs,,ТБанк RUB,,700.00,"667,700.38",,,,,,,,,,,,,,,,
97,11/30/2025,physcology,,ТБанк RUB,,"5,800.00","661,900.38",,,,,,,,,,,,,,,,
98,11/30/2025,samsung tab,,Bybit USDT,,350.00,"7,725.56",,,,,,,,,,,,,,,,
99,12/2/2025,espanol,,ТБанк RUB,,"7,500.00","654,400.38",,,,,,,,,,,,,,,,
100,12/3/2025,apartment payment,,IBT EUR,,750.00,"3,260.44",,,,,,,,,,,,,,,,
101,12/4/2025,cvs,,ТБанк RUB,,600.00,"653,800.38",,,,,,,,,,,,,,,,
102,12/5/2025,main income,,ТБанк RUB,"182,078.52",0.00,"835,878.90",,,,,,,,,,,,,,,,
103,12/5/2025,hardella,,ТБанк RUB,,100.00,"835,778.90",,,,,,,,,,,,,,,,
104,12/5/2025,Claude refund ,,ТБанк RUB,"16,000.00",0.00,"851,778.90",,,,,,,,,,,,,,,,
105,12/5/2025,electro ,,Bybit USDT,,73.00,"7,652.56",,,,,,,,,,,,,,,,
106,12/6/2025,prex exchange ,,ТБанк RUB,,"50,000.00","801,778.90",,,,,,,,,,,,,,,,
107,12/6/2025,prex exchange ,,Prex ARS,"913,000.00",0.00,"913,000.00",,,,,,,,,,,,,,,,
108,12/6/2025,Baires4 Tokyo silla ,,Prex ARS,,"363,261.00","549,739.00",,,,,,,,,,,,,,,,
109,12/7/2025,psycho,,ТБанк RUB,,"5,800.00","795,978.90",,,,,,,,,,,,,,,,
110,12/7/2025,шортики,,Cash ARS,,"39,900.00","(39,900.00)",,,,,,,,,,,,,,,,
111,12/7/2025,юбочка рита,,Cash ARS,,"39,900.00","(79,800.00)",,,,,,,,,,,,,,,,
112,12/7/2025,трусы носки,,Cash ARS,,"24,500.00","(104,300.00)",,,,,,,,,,,,,,,,
113,12/7/2025,cine zootopia 2,,Prex ARS,,"22,500.00","527,239.00",,,,,,,,,,,,,,,,
114,12/7/2025,cash ars storno,,Cash ARS,"957,700.00",0.00,"853,400.00",,,,,,,,,,,,,,,,
115,12/7/2025,rub storno,,ТБанк RUB,"4,069.90",0.00,"800,048.80",,,,,,,,,,,,,,,,
116,12/7/2025,usd storno,,IBT EUR,25.00,0.00,"3,285.44",,,,,,,,,,,,,,,,
117,12/9/2025,usdt exchange ,,ТБанк RUB,,"50,000.00","750,048.80",,,,,,,,,,,,,,,,
118,12/9/2025,usdt exchange ,,Bybit USDT,612.75,0.00,"8,265.31",,,,,,,,,,,,,,,,
119,12/9/2025,MERPAGO*NAKSTUFF mesa,,Prex ARS,,"370,000.00","157,239.00",,,,,,,,,,,,,,,,
120,12/10/2025,usdt exchange,,ТБанк RUB,,"50,000.00","700,048.80",,,,,,,,,,,,,,,,
121,12/10/2025,usdt exchange,,Bybit USDT,612.75,0.00,"8,878.06",,,,,,,,,,,,,,,,
122,12/12/2025,оплата доставки,Pharmacy,ТБанк RUB,,"2,250.00","697,798.80",,,,,,,,,,,,,,,,
123,12/13/2025,оплата голосового поздравления,Gift,ТБанк RUB,,"5,350.00","692,448.80",,,,,,,,,,,,,,,,
124,12/14/2025,психолог,Physcology,ТБанк RUB,,"5,800.00","686,648.80",,,,,,,,,,,,,,,,
125,12/12/2025,claro,Mobile,Prex ARS,,"9,800.00","147,439.00",,,,,,,,,,,,,,,,
126,12/12/2025,rita parilla,Bar & Restaurants,Cash ARS,,"60,000.00","793,400.00",,,,,,,,,,,,,,,,
127,12/13/2025,farmatodo micopirox laca,Pharmacy,Cash ARS,,"24,940.00","768,460.00",,,,,,,,,,,,,,,,
128,12/13/2025,farmatodo piecidex crema,Pharmacy,Cash ARS,,"9,660.00","758,800.00",,,,,,,,,,,,,,,,
129,12/13/2025,guante mapa plisse satinado,Cleaning,IBT ARS,,"9,102.00","(9,102.00)",,,,,,,,,,,,,,,,
130,12/13/2025,bolsa de residuos,Cleaning,IBT ARS,,"6,390.00","(15,492.00)",,,,,,,,,,,,,,,,
131,12/13/2025,carrefour,Exchange,IBT ARS,"15,492.00",,0.00,,,,,,,,,,,,,,,,
132,12/13/2025,carrefour,Exchange,IBT EUR,,9.88,"3,275.56",,,,,,,,,,,,,,,,
133,12/14/2025,white monster,Drinks,Cash ARS,,"2,989.00","755,811.00",,,,,,,,,,,,,,,,
134,12/14/2025,rollo de cocina,Cleaning,Cash ARS,,"5,678.00","750,133.00",,,,,,,,,,,,,,,,
135,12/14/2025,jabon de tocador,Hygiene,Cash ARS,,"2,133.00","748,000.00",,,,,,,,,,,,,,,,
136,12/14/2025,prolongador 4 tomar,Housing,IBT ARS,,"18,195.00","(18,195.00)",,,,,,,,,,,,,,,,
137,12/14/2025,moises recto perro,Pet,IBT ARS,,"33,742.50","(51,937.50)",,,,,,,,,,,,,,,,
138,12/14/2025,easy palermo,Exchange,IBT ARS,"51,937.50",,0.00,,,,,,,,,,,,,,,,
139,12/14/2025,easy palermo,Exchange,IBT EUR,,32.85,"3,242.71",,,,,,,,,,,,,,,,
140,12/14/2025,elvive acondicionador cabello teñido,Hygiene,Cash ARS,,"5,500.00","742,500.00",,,,,,,,,,,,,,,,
141,12/14/2025,elvive shampoo cabello teñido,Hygiene,Cash ARS,,"5,500.00","737,000.00",,,,,,,,,,,,,,,,
142,12/18/2025,olesya pet,Pet,ТБанк RUB,,"2,600.00","684,048.80",,,,,,,,,,,,,,,,
143,12/18/2025,zina pet,Pet,ТБанк RUB,,"2,340.00","681,708.80",,,,,,,,,,,,,,,,
144,12/18/2025,Payment MTS Steam Katana zero,Steam,ТБанк RUB,,"2,050.00","679,658.80",,,,,,,,,,,,,,,,
145,12/19/2025,накопительный счет сторно,Storno,ТБанк RUB,,"492,256.83","187,401.97",,,,,,,,,,,,,,,,
146,12/19/2025,накопительный счет сторно,Storno,ТБанк Счет RUB,"492,256.83",,"492,256.83",,,,,,,,,,,,,,,,
147,12/19/2025,main income,Main Income,ТБанк RUB,"172,975.00",,"360,376.97",,,,,,,,,,,,,,,,
148,12/19/2025,тбанк сторно,Storno,ТБанк RUB,,"165,455.18","194,921.79",,"194,921.79",,,,,,,,,,,,,,
149,12/20/2025,euro exchange,,ТБанк RUB,,"50,000.00","144,921.79",,,,,,,,,,,,,,,,
150,12/20/2025,euro exchange commision,,ТБанк RUB,,300.00,"144,621.79",,,,,,,,,,,,,,,,
151,12/20/2025,euro exchange,,IBT EUR,509.90,,"3,752.61",,,,,,,,,,,,,,,,
152,12/20/2025,storno,Storno,IBT EUR,,"3,230.73",521.88,,,,,,,,,,,,,,,,
153,12/20/2025,usdt exchange ,,ТБанк RUB,,"50,000.00","94,621.79",,,,,,,,,,,,,,,,
154,12/20/2025,usdt exchange ,,Bybit USDT,597.73,,"9,475.79",,,,,,,,,,,,,,,,
155,12/21/2025,psychology,Physcology,ТБанк RUB,,"5,800.00","88,821.79",,,,,,,,,,,,,,,,
156,12/22/2025,usdt exchange,USDT Exchange,ТБанк RUB,,"50,000.00","38,821.79",,,,,,,,,,,,,,,,
157,12/22/2025,usdt exchange,USDT Exchange,Bybit USDT,601.40,,"10,077.19",,,,,,,,,,,,,,,,
158,12/23/2025,mia refund,,ТБанк RUB,"5,523.00",,"44,344.79",,,,,,,,,,,,,,,,
159,12/23/2025,mia refund,,ТБанк RUB,"2,965.00",,"47,309.79",,,,,,,,,,,,,,,,
160,12/23/2025,yota,Mobile,ТБанк RUB,,"1,000.00","46,309.79",,,,,,,,,,,,,,,,